Fragments on Exile and Lineage
Ἀποσπάσματα περὶ Φυγῆς καὶ Γένους
by Euripides
eul_wid: cbm-am    eul_aid: cbm

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The title "Fragments on Exile and Lineage" refers not to an ancient work by Euripides but to a modern scholarly compilation of passages from his lost dramas, thematically united by their exploration of displacement and ancestry. Euripides, the Athenian tragedian of the fifth century BCE, wrote numerous plays, of which only a fraction survive complete. The majority are known only through fragments, and the twin themes of exile and lineage recur with striking frequency across both his extant and fragmentary output. These fragments are preserved through quotations by later Greek and Roman authors, papyrus discoveries, and entries in ancient library catalogs. A modern collection organized under this title would constitute an editorial synthesis drawn from these disparate sources.

The content of such a compilation would center on fundamental Euripidean preoccupations. Exile is portrayed as a profound psychological and political catastrophe, often explored through the plight of refugees, suppliants, and outcasts. Lineage, or the claims of noble birth, is frequently subjected to critical scrutiny, with dramatic situations emphasizing the conflict between inherited status and demonstrated personal virtue. Characters of disputed or obscured parentage are common, serving to question aristocratic privilege. These themes converge in a deeper exploration of identity, examining how the self is constructed or shattered when traditional ties of family and city are broken, and probing the tension between innate human nature and social convention.

Euripides’ treatment of these subjects constituted a critical interrogation of the social and political foundations of Classical Athens. His psychologically complex portraits of displacement and his destabilization of traditional aristocratic values exerted a profound influence on later Hellenistic and Roman drama. Furthermore, his sententious and philosophically charged verses on these topics were extensively quoted and debated by subsequent philosophers, rhetoricians, and moralists, securing his legacy as a pivotal and provocative voice in the ancient literary tradition.

Text
----

book 1.1	ποίαν
book 733.1	τοῖς πᾶσιν ἀνθρώποισι κατθανεῖν μένει. κοινὸν δ’ ἔχοντες αὐτὸ κοινὰ πάσχομεν πάντες· τὸ γὰρ
book 733.2	χρεὼν μεῖζον ἢ τὸ μὴ χρεών.
book 734.1	ἀρετὴ δὲ κἂν θάνῃ τις οὐκ ἀπόλλυται, ζῇ δ’ οὐκέτ’ ὄντος σώματος· κακοῖσι δὲ ἅπαντα
book 734.2	φροῦδα
book 734.3	συνθανόνθ’ ὑπὸ χθονός.
book 735.1	ἀσύνετος ὅστις ἐν φόβῳ μὲν ἀσθενής, λαβὼν δὲ μικρὸν τῆς τύχης
book 735.2	φρονεῖ μέγα.
book 736.1	ὡς
book 736.2	σκαιὸς ἁνὴρ καὶ ξένοισιν ἄξενος καὶ μνημονεύων οὐδὲν ὧν ἐχρῆν φίλου. σπάνιον ἄρ’ ἦν θανοῦσιν ἀσφαλεῖς φίλοι, κἂν ὁμόθεν ὦσι· τὸ γὰρ ἔχειν
book 736.3	πλέον κρατεῖ[ln_5]τῆς εὐσεβείας· ἡ δ’ ἐν ὀφθαλμοῖς χάρις ἀπόλωλ’, ὅταν
book 736.4	τις ἐκ δόμων ἀνὴρ θάνῃ.
book 737.1	καλόν γ’ ἀληθὴς κἀτενὴς
book 737.2	παρρησία.
book 738	πολλοὶ γεγῶτες ἄνδρες οὐκ ἔχους’ ὅπως δείξουσιν αὑτοὺς τῶν κακῶν ἐξουσίᾳ.
book 739.1	φεῦ φεῦ, τὸ φῦναι
book 739.2	πατρὸς εὐγενοῦς ἄπο ὅσην ἔχει
book 739.3	φρόνησιν ἀξίωμά τε. κἂν γὰρ πένης ὢν
book 739.4	τυγχάνῃ, χρηστὸς γεγὼς
book 739.5	τιμὴν ἔχει
book 739.6	τιν’, ἀναμετρούμενος δέ πως[ln_5]τὸ τοῦ πατρὸς γενναῖον ὠφελεῖ τρόπῳ.
book 740.1	. . . . . . ἦλθεν δ’ ἐπὶ χρυσόκερων ἔλαφον, μεγάλων ἄθλων ἕνα δεινὸν ὑποστάς, κατ’ ἔναυλ’ ὀρέων ἀβάτους ἐπί τε[ln_5]λειμῶνας
book 740.2	ποίμνιά τ’ ἄλση.
book 742.1	ἄλλη
book 742.2	πρὸς ἄλλο γαῖα
book 742.3	χρησιμωτέρα.
book 743.1	τὸ δὲ στρατηγεῖν
book 743.2	τοῦτ’ ἐγὼ κρίνω, καλῶς γνῶναι τὸν ἐχθρὸν ᾗ μάλισθ’ ἁλώσιμος.
book 744.1	ἄρξεις ἄρ’ οὕτω· χρὴ δὲ τὸν
book 744.2	στρατηλάτην ὁμῶς δίκαιον ὄντα
book 744.3	ποιμαίνειν
book 744.4	στρατόν.
book 745.1	τολμᾶν δὲ χρεών· ὁ γὰρ ἐν καιρῷ μόχθος
book 745.2	πολλὴν εὐδαιμονίαν τίκτει θνητοῖσι
book 745.3	τελευτῶν.
book 746.1	αἰδὼς γὰρ ὀργῆς
book 746.2	πλείον’ ὠφελεῖ βροτούς.
book 747	αἰσίως
book 748	ἀνανομήν
book 749	ἄπυργος
book 750	κατηβολή
book 751	σφακελισμός
book 752.1	Διόνυσος, ὃς θύρσοισι καὶ νεβρῶν δοραῖς καθαπτὸς ἐν
book 752.2	πεύκαισι
book 752.3	Παρνασὸν κάτα
book 752.4	πηδᾷ χορεύων
book 752.5	παρθένοις σὺν Δελφίσιν
book 753	δείξω μὲν Ἀργείοισιν Ἀχελῴου ῥόον
book 754	ἕτερον ἐφ’ ἑτέρῳ αἰρόμενος ἄγρευμ’ ἀνθέων ἡδομένᾳ ψυχᾷ τὸ νήπιον ἄπληστον ἔχων
book 755	ἀνὰ τὸ δωδεκαμήχανον ἄστρον
book 756	περίβαλ’, ὦ τέκνον, ὠλένας
book 757.1	ἅ γ’ οὖν
book 757.2	παραινῶ, ταῦτά μου δέξαι, γύναι. ἔφυ μὲν οὐδεὶς ὅστις οὐ πονεῖ βροτῶν, θάπτει
book 757.3	τε τέκνα χἅτερ’ αὖ κτᾶται νέα, αὐτός
book 757.4	τε θνῄσκει· καὶ τάδ’ ἄχθονται βροτοί,[ln_5]εἰς γῆν φέροντες γῆν. ἀναγκαίως δ’ ἔχει βίον θερίζειν ὥστε κάρπιμον
book 757.5	στάχυν, καὶ τὸν μὲν εἶναι, τὸν δὲ μή· τί ταῦτα δεῖ στένειν, ἅπερ δεῖ κατὰ φύσιν διεκπερᾶν; δεινὸν γὰρ οὐδὲν τῶν ἀναγκαίων βροτοῖς.
book 758	κακοῖς τὸ κέρδος τῆς δίκης ὑπέρτερον.
book 759.1	πρὸς τὰ φύσεις
book 759.2	χρὴ καὶ τὰ πράγματα
book 759.3	σκοπεῖν καὶ τὰς διαίτας τῶν κακῶν
book 759.4	τε κἀγαθῶν, πειθὼ δὲ τοῖς μὲν σώφροσιν
book 759.5	πολλὴν ἔχειν, τοῖς μὴ δικαίοις δ’ οὐδὲ συμβάλλειν
book 759.6	χρεών.
book 760.1	ἔξω γὰρ ὀργῆς πᾶς ἀνὴρ
book 760.2	σοφώτερος.
book 761.1	ἄελπτον οὐδέν, πάντα δ’ ἐλπίζειν
book 761.2	χρεών.
book 762	εὔφημα καὶ σᾶ καὶ κατεσφραγισμένα
book 763	ἢ ἑτέρᾳ φράσω;
book 764.1	ἰδού, πρὸς αἰθέρ’ ἐξαμίλλησαι κόρας γραπτούς 〈τ’ ἐν αἰετ〉οῖσι
book 764.2	πρόσβλεψον τύπους.
book 765.1	οἰνάνθα
book 765.2	τρέφει τὸν ἱερὸν βότρυν
book 766	ἀναδρομαί
book 767	ἄρκτος
book 768	ἐκδημία
book 769	κροταλισάσης
book 770	νεαρός
book 771.1	Μέροπι τῆσδ’ ἄνακτι γῆς, ἣν ἐκ
book 771.2	τεθρίππων ἁρμάτων
book 771.3	πρώτην
book 771.4	χθόνα Ἥλιος ἀνίσχων
book 771.5	χρυσέᾳ βάλλει
book 771.6	φλογί. καλοῦσι δ’ αὐτὴν γείτονες μελάμβροτοι[ln_5]Ἕω
book 771.7	φαεννὰς Ἡλίου θ’ ἱπποστάσεις.
book 772.1	θερμὴ δ’ ἄνακτος
book 772.2	φλὸξ ὑπερτέλλουσα γῆς καίει τὰ πόρρω, τἀγγύθεν δ’ εὔκρατ’ ἔχει.
book 773.1	μνησθεὶς ὅ μοί ποτ’ εἶφ’ ὅτ’ ηὐνάσθη θεός. αἰτοῦ τί χρῄζεις ἕν· πέρᾳ γὰρ οὐ θέμις λαβεῖν
book 773.2	σε· κἂν μὲν
book 773.3	τυγχάνῃς ε... θεοῦ πέφυκας· εἰ δὲ μή, ψευδὴς ἐγώ.
book 773.1	[ln_5][spk_φαε]ΦΑΕ. πῶς οὖν
book 773.2	πρόσειμι δῶμα θερμὸν Ἡλίου; ΚΛΥ. κείνῳ μελήσει σῶμα μὴ βλάπτειν τὸ σόν. ΦΑΕ. εἴπερ
book 773.3	πατὴρ πέφυκεν, οὐ κακῶς λέγεις. ΚΛΥ. σάφ’ ἴσθι· πεύσῃ δ’ αὐτὸ τῷ χρόνῳ σαφῶς. ΦΑΕ. ἀρκεῖ· πέποιθα γάρ
book 773.4	σε μὴ ψευδῆ λέγειν.[ln_10]ἀλλ’ ἕρπ’ ἐς οἴκους· καὶ γὰρ αἵδ’ ἔξω δόμων δμῳαὶ περῶσιν, αἳ πατρὸς κατὰ σταθμοὺς
book 773.5	σαίρουσι δῶμα καὶ δόμων κειμήλια καθ’ ἡμέραν
book 773.6	φοιβῶσι κἀπιχωρίοις ὀσμαῖσι θυμιῶσιν εἰσόδους δόμων.
book 773.1	[ln_15]ὅταν δ’ ὕπνον γεραιὸς ἐκλιπὼν
book 773.2	πατὴρ πύλας ἀμείψῃ καὶ λόγους γάμων πέρι λέξῃ πρὸς ἡμᾶς, Ἡλίου μολὼν δόμους
book 773.3	τοὺς
book 773.4	σοὺς ἐλέγξω, μῆτερ, εἰ σαφεῖς λόγοι.
book 773.1	[spk_χορ]ΧΟΡ. . . . . . . .[ln_20]. . . . . κατὰ γᾶν .δειλα..α.κυ..μαι . . . . . . . . μέλπει δ’ ἐν δένδρεσι λεπτὰν ἀηδὼν ἁρμονίαν[ln_25]ὀρθρευομένα γόοις Ἴτυν Ἴτυν
book 773.2	πολύθρηνον. σύριγγας δ’ οὐριβάται κινοῦσιν
book 773.3	ποίμνας ἐλάται· ἔγρονται δ’ εἰς βοτάναν[ln_30]ξανθᾶν πώλων
book 773.4	συζυγίαι. ἤδη δ’ εἰς ἔργα κυναγοὶ στείχουσιν θηροφόνοι, παγαῖς τ’ ἐπ’ Ὠκεανοῦ μελιβόας κύκνος ἀχεῖ.
book 773.1	[ln_35]ἄκατοι δ’ ἀνάγονται ὑπ’ εἰρεσίας ἀνέμων τ’ εὐαέσσιν ῥοθίοις ἀνὰ δ’ ἱστία ....... . . . . . . . . . . . . . . . .[ln_40]. . . . . . . . . . . . . . . . . σινδὼν δὲ πρότονον ἐπὶ μέσον
book 773.2	πελάζει. τὰ μὲν οὖν ἑτέροισι μέριμνα πέλει· κόσμον δ’ ὑμεναίων δεσποσύνων[ln_45]ἐμὲ καὶ τὸ δίκαιον ἄγει καὶ ἔρως ὑμνεῖν· δμωσὶν γὰρ ἀνάκτων εὐαμερίαι
book 773.3	προσιοῦσαι μολπᾶν θράσος αἴρους’ ἐπὶ χάρματ’· εἰ δὲ τύχα
book 773.4	τι τέκοι,
book 773.1	βαρὺν βαρεῖα φόβον ἔπεμψεν οἴκοις. ὁρίζεται δὲ τόδε φάος γάμων τέλος, τὸ δή ποτ’ εὐχαῖς ἐγὼ λισσομένα
book 773.2	προσέβαν ὑμέναιον ἀεῖσαι[ln_55]φίλον φίλων δεσποτᾶν. θεὸς ἔδωκε, χρόνος ἔκρανε λέχος ἐμοῖσιν ἀρχέταις. ἴτω
book 773.3	τελεία γάμων ἀοιδά. ἀλλ’ ὅδε γὰρ δὴ βασιλεὺς
book 773.4	πρὸ δόμων[ln_60]κῆρύξ θ’ ἱερὸς καὶ παῖς
book 773.5	Φαέθων βαίνουσι, τριπλοῦν ζεῦγος, ἔχειν
book 773.6	χρὴ στόμ’ ἐν ἡσυχίᾳ· περὶ γὰρ μεγάλων γνώμας δείξει, παῖδ’ ὑμεναίοις, ὡς
book 773.7	φησί, θέλων[ln_65]ζεῦξαι νύμφης
book 773.8	τε λεπάδνοις.
book 773.1	[spk_〈κηρ.〉]〈ΚΗΡ.〉 Ὠκεανοῦ πεδίων οἰκήτορες, εὐφαμεῖτ’, ὦ, ἐκτόπιοί τε δόμων ἀπαείρετε, ὦ ἴτε, λαοί.[ln_70]κηρύσσω δ’ ὁσίαν βασιλήιον, αἰτῶ δ’ αὐδὰν εὐτεκνίαν
book 773.2	τε γάμοις, ὧν ἔξοδος ἅδ’ ἕνεχ’ ἥκει, παιδὸς
book 773.3	πατρός
book 773.4	τε τῇδ’ ἐν ἡμέρᾳ λέχη
book 773	[ln_75][spk_μερ]κρᾶναι θελόντων· ἀλλὰ σῖγ’ ἔστω λεώς. ΜΕΡ. . . . . . . . . . . . . . . . . . . . εἰ γὰρ εὖ λέγω
book 774.1	ναῦν
book 774.2	τοι μί’ ἄγκυρ’ οὐχ ὁμῶς σῴζειν
book 774.3	φιλεῖ ὡς
book 774.4	τρεῖς ἀφέντι· προστάτης θ’ ἁπλοῦς πόλει
book 774.5	σφαλερός, ὑπὼν δὲ κἄλλος οὐ κακὸν πέλει.
book 775.1	ἐλεύθερος δ’ ὢν δοῦλός ἐστι
book 775.2	τοῦ λέχους, πεπραμένον τὸ σῶμα τῆς
book 775.3	φερνῆς ἔχων.
book 776.1	δεινόν γε, τοῖς
book 776.2	πλουτοῦσι
book 776.3	τοῦτο δ’ ἔμφυτον, σκαιοῖσιν εἶναι· τί ποτε
book 776.4	τοῦτο
book 776.5	ταἴτιον; ἆρ’ ὄλβος αὐτοῖς ὅτι
book 776.6	τυφλὸς
book 776.7	συνηρετεῖ, τυφλὰς ἔχουσι τὰς
book 776.8	φρένας καὶ τῆς τύχης;
book 777.1	ὡς
book 777.2	πανταχοῦ γε
book 777.3	πατρὶς ἡ βόσκουσα γῆ.
book 778	εὐδαιμονίζων ὄχλος ἐξέπληξέ με.
book 779.1	ἔλα δὲ μήτε Λιβυκὸν αἰθέρ’ εἰσβαλών· κρᾶσιν γὰρ ὑγρὰν οὐκ ἔχων, ἁψῖδα σὴν κάτω διήσει . . . . . . . ἵει δ’ ἐφ’ ἑπτὰ πλειάδων ἔχων δρόμον ....[ln_5]τοσαῦτ’ ἀκούσας
book 779.2	παῖς ἔμαρψεν ἡνίας· κρούσας δὲ πλευρὰ πτεροφόρων ὀχημάτων μεθῆκεν, αἳ δ’ ἔπταντ’ ἐπ’ αἰθέρος
book 779.3	πτυχάς. πατὴρ δ’ ὄπισθε νῶτα
book 779.4	σειραίου βεβὼς ἵππευε
book 779.5	παῖδα νουθετῶν· ἐκεῖς’ ἔλα,[ln_10]τῇδε
book 779.6	στρέφ’ ἅρμα, τῇδε.
book 781.1	πυρός τ’ ἐρινὺς ἐν νεκροῖς θερηνυαι ζῶς’ ἥδ’ ἀνίης’ ἀτμὸν ἐμφανῆ . . ἀπωλόμην· οὐκ οἴσετ’ εἰς δόμους ν〈έκυν;〉 νοεῖς; πόσις μοι
book 781.2	πλησίον γαμηλίους[ln_5]μολπὰς ἀυτεῖ παρθένοις ἡγούμενος. οὐ θᾶσσον; οὐ σταλαγμὸν ἐξομόρξετε, εἴ πού τις ἔστιν αἵματος
book 781.3	χαμαὶ πεσών; ἐπείγετ’ εἶα, δμωίδες· κρύψω δέ νιν ξεστοῖσι θαλάμοις, ἔνθ’ ἐμῷ κεῖται πόσει[ln_10]χρυσός· μόνη δὲ κλῇθρ’ ἐγὼ σφραγίζομαι. ὦ καλλιφεγγὲς Ἥλι’, ὥς μ’ ἀπώλεσας καὶ τόνδ’· Ἀπόλλων δ’ ἐν βροτοῖς ὀρθῶς καλῇ, ὅστις τὰ σιγῶντ’ ὀνόματ’ οἶδε δαιμόνων.
book 781.1	[spk_χορ]ΧΟΡ. Ὑμὴν Ὑμήν,[ln_15]τὰν Διὸς οὐρανίαν ἀείδομεν τὰν ἐρώτων πότνιαν, τὰν
book 781.2	παρθένοις γαμήλιον Ἀφροδίταν. πότνια, σοὶ τάδ’ ἐγὼ νυμφεῖ’ ἀείδω, Κύπρι θεῶν καλλίστα,[ln_20]τῷ τε νεόζυγι σῷ πώλῳ, τὸν ἐν αἰθέρι κρύπτεις σῶν γάμων γένναν· ἃ τὸν μέγαν τᾶσδε πόλεως βασιλῆ νυμφεύεται,[ln_25]ἀστερωποῖσιν δόμοισιν
book 781.3	χρυσέων ἀρχόν, φίλον Ἀφροδίτᾳ. ὦ μακάρων βασιλεὺς μείζων ἔτ’ ὄλβον· ὃς θεὰν κηδεύσεις καὶ μόνος ἀθανάτων
book 781.1	[ln_30][spk_μερ]γαμβρὸς δι’ ἀπείρονα γαῖαν θνατὸς ὑμνήσῃ. ΜΕΡ. χώρει σὺ καὶ τάσδ’ εἰς δόμους ἄγων κόρας γυναῖκ’ ἄνωχθι πᾶσι
book 781.2	τοῖς κατὰ στόμα θεοῖς
book 781.3	χορεῦσαι καὶ κυκλώσασθαι δόμους[ln_35]σεμνοῖσιν ὑμεναίοισιν, Ἑστίας θ’ ἕδος, ἀφ’ ἧς γε σώφρων πᾶς ἂν ἄρχεσθαι θέλοι εὐχὰς
book 781.4	πο〈εῖσθαι〉 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
book 781.1	[ln_40][spk_θερ]. . . . . . . . . . . . . . . . . . . . . . . . θεᾶς
book 781.2	προσελθεῖν τέμενος ἐξ ἐμῶν δόμων. ΘΕΡ. ὦ δέσποτ’, ἔστρεψ’ ἐκ δόμων
book 781.3	ταχὺν πόδα. οὗ γὰρ σὺ σῴζῃ σεμνὰ θησαυρίσματα[ln_45]χρυσοῦ, δι’ ἁρμῶν ἐξαμείβεται πύλης καπνοῦ μέλαιν’ ἄησις ἔνδοθεν
book 781.4	στέγης. προσθεὶς
book 781.5	πρόσωπον
book 781.6	φλόγα μὲν οὐχ ὁρῶ πυρός, γέμοντα δ’ οἶκον μέλανος ἔνδοθεν καπνοῦ. ἀλλ’ ἔσιθ’ ἐς οἶκον, μή τιν’ Ἥφαιστος χόλον
book 781.1	[spk_μερ]δόμοις ἐπεισφρεὶς μέλαθρα
book 781.2	συμφλέξῃ πυρὶ ἐν
book 781.3	τοῖσιν ἡδίστοισι
book 781.4	Φαέθοντος γάμοις. ΜΕΡ. πῶς φής; ὅρα μὴ θυμάτων
book 781.5	πυρουμένων κατ’ οἶκον ἀτμὸν κεῖς’ ἀποσταλέντ’ ἴδῃς. ΘΕΡ. ἅπαντα
book 781.6	ταῦτ’ ἠθρησεκανπωτουσεχει[ln_55]ΜΕΡ. οἶδεν δ’ ἐμὴ τάδ’ ἢ οὐκ ἐπίσταται δάμαρ; ΘΕΡ. θυηπολοῦσα θεοῖς ἐκεῖς’ ἔχει
book 781.7	φρένας. ΜΕΡ. ἀλλ’ εἶμ’, ἐπεί τοι καὶ φιλεῖ τὰ τοιάδε ληφθέντα
book 781.8	φαύλως ἐς μέγαν
book 781.9	χειμῶν’ ἄγειν. σὺ δ’ ὡς πάρος δέσποινα Δήμητρος κόρη
book 781.1	[ln_60][spk_χορ]Ἥφαιστέ τ’ ἔστε
book 781.2	πρευμενεῖς δόμοις ἐμοῖς. ΧΟΡ. τάλαιν’ ἐγώ, τάλαινα, ποῖ πόδα
book 781.3	πτερόεντα καταστάσω; ἀν’ αἰθέρ’; ἢ γᾶς ὑπὸ κεῦθος ἄφαν‐ τον ἐξαμαυρωθῶ;[ln_65]ἰώ μοί μοι, κακὰ φανήσεται· βασίλεια τάλαινα
book 781.4	παῖς τ’ ἔσω κρυφαῖος νέκυς. ὀτοτοτοῖ, κεραύνιαί τ’ ἐκ Διὸς
book 781.5	πυρίβολοι
book 781.6	πλαγαὶ λέχεά θ’ Ἁλίου.[ln_70]ὦ δυστάλαινα τῶν ἀμετρήτων κακῶν Ὠκεανοῦ κόρα, πατρὸς ἴθι
book 781.7	πρόσπεσε γόνυ 〈λι〉ταῖς, σφαγὰς
book 781.8	σφαγὰς οἰκτρά τ’ ἀρκέσαι σᾶς δειρᾶς.
book 781.1	[ln_75][spk_μερ]ΜΕΡ. ἰώ μοί μοι. ΧΟΡ. ἠκούσατ’ ἀρχὰς δεσπότου
book 781.2	στεναγμάτων; ΜΕΡ. ἰὼ τέκνον. ΧΟΡ. καλεῖ τὸν οὐ κλύοντα δυστυχῆ γόνον .......των ὁρᾶν
book 781.3	σαφῆ.
book 782	ψυκτήρια δένδρεα φίλαισιν ὠλέναισι λέξεται.
book 783	χρυσέα βῶλος
book 784.1	ἐν
book 784.2	τοῖσι μώροις
book 784.3	τοῦτ’ ἐγὼ κρίνω βροτῶν, ὅστις τῶν
book 784.4	πατέρων
book 784.5	παισὶ μὴ φρονοῦσιν εὖ ἢ καὶ πολίταις
book 784.6	παραδίδως’ ἐξουσίαν.
book 785	μισῶ δὲ . . . . . . ἀγκύλον τόξον κρανείας, γυμνάσια δ’ οἰχοίατο.
book 786	φίλος δέ μοι ἄλουτος ἐν φάραγξι σήπεται νέκυς.
book 787.1	πῶς δ’ ἂν
book 787.2	φρονοίην, ᾧ παρῆν ἀπραγμόνως ἐν
book 787.3	τοῖσι
book 787.4	πολλοῖς ἠριθμημένῳ στρατοῦ ἴσον μετασχεῖν τῷ σοφωτάτῳ τύχης;
book 788.1	οὐδὲν γὰρ οὕτω γαῦρον ὡς ἀνὴρ ἔφυ· τοὺς γὰρ
book 788.2	περισσοὺς καί τι
book 788.3	πράσσοντας
book 788.4	πλέον
book 788.5	τιμῶμεν ἄνδρας τ’ ἐν πόλει νομίζομεν.
book 789.1	ὀκνῶν δὲ μόχθων τῶν
book 789.2	πρὶν ἐκχέαι χάριν καὶ τοὺς
book 789.3	παρόντας οὐκ ἀπωθοῦμαι πόνους.
