Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
9 2 9	Ἐν δὲ ταῖς τοιαύταις ὁδοιπορίαις, ὁδηγεῖσθαι μὲν ὑπὸ πάνυ ἀκριβῶς εἰδότων τοὺς τόπους, εἰς τὸ μὴ πλανᾶσθαι τὸν στρατόν, παντοίαν δὲ ἡσυχίαν ἄγειν, καὶ μηδὲ βουκίνων φωνήν, μηδὲ ἄλλην οἱανδήποτε κραυγὴν γίνεσθαι· ἀλλ’, εἰ χρὴ τοῦ μεῖναι τὸν στρατὸν ὡς εἰκὸς ἢ τοῦ κινῆσαι, συριγμῷ ἢ ἁπλῷ ψόφῳ σκουταρίου σημαίνειν ἢ παραγγέλματι. Ἵνα δὲ μηδὲ θόρυβος τῶν ἤχων γένηται, μηδὲ ἐπὶ πολὺ τῆς παρατάξεως ἐκτεινομένης πλάνῃ καὶ ἀνισότης καὶ κραυγαὶ μανδάτων κινοῦνται, καὶ εὔγνωστος τοῖς ἐχθροῖς ἡ παρουσία τοῦ στρατοῦ γένηται, δεῖ μὴ ἐπὶ μέτωπον, ἀλλ’ ἐπὶ κέρας, τουτέστιν ἐπὶ ὀρθίᾳ παρατάξει, ὡς ἐπὶ ἀκίας κατ’ οὐρὰν ἀλλήλων περιπατεῖν τοῦ βάθους, δηλονότι τῆς παρατάξεως, φυλαττομένου· καὶ ὅταν πλησίον τῶν ἐχθρῶν φθάσῃ ὁ στρατός, τότε λεληθότως ἀναπαύειν καὶ ὀρθοῦν τὴν τάξιν, καί, ὡς ὁ τόπος ἐπιδέχεται, εἴτε διὰ δύο, εἴτε καὶ διὰ τριῶν μερῶν τὴν ἐπέλευσιν ποιεῖσθαι.
9 2 11	οὐδὲ γὰρ κατὰ τῶν τεσσάρων χρεία, ἵνα μὴ περιλαμβανόμενοι πάντοθεν οἱ ἐχθροὶ ἐκ περιστάσεως συμφράξωνται, ἀλλ’ ἵνα ἔχωσιν ἄδειαν δι’ ἑνὸς μέρους οἱ θέλοντες φεύγειν. Τότε, εἰ μὲν πλῆθος στρατοῦ ἐστι τὸ ἐπερχόμενον, ἓν ἢ δεύτερον βούκινον παρασκευάζειν φωνεῖν· εἰ δὲ ὀλίγος, πλείονα βούκινα, ἵνα πλῆθος νομίζηται τὸ ἐπερχόμενον.
9 2 13	Χρὴ δὲ πάντως δύναμιν τινὰ συνίστασθαι στρατοῦ τὴν μὴ μιγνύουσαν χεῖρας κατὰ τὴν ὥραν ἐκείνην, ἀλλ’ εὐκαίρως ἱσταμένην καὶ ὀφείλουσαν τοὺς ὡς εἰκὸς προστρέχοντας ἐκ τῶν ἰδίων προσδέχεσθαι. Χρὴ δὲ τὰς τοιαύτας ἐφόδους, τὰς κατὰ καβαλλαρίων μάλιστα, ἀσφαλῶς καὶ ἐμπαρασκεύως ποιεῖσθαι, ὡς ἐπὶ δημοσίας μάχης, ἵνα, εἴπερ τὰ τῆς ἐφόδου μὴ κατὰ σκοπὸν προέλθῃ, ἀλλ’ οἱ πολέμιοι προαισθόμενοι ἀντιπαρατάξονται, μὴ κατόπιν πράξῃ ὁ στρατὸς ἐν τῇ κινουμένῃ μάχῃ, ὡς ἀπαράσκευος.
9 2 15	Εἰ γὰρ πεζοὶ ὦσιν οἱ ἐναντίοι, καβαλλάριοι δὲ οἱ ἐπερχόμενοι, πρόδηλόν ἐστιν, ὅτι ἔβλαψαν τοὺς ἐναντίους ἢ αὐτοὶ ἀπαθεῖς ἀναχωροῦσι τῶν πεζῶν διώκειν αὐτοὺς οὐ δυναμένων. Εἴτε δὲ ἐν νυκτὶ ἔφοδος γίνεται κατὰ φοσσάτου, εἴτε ἐν ἡμέρᾳ ἢ κατὰ ὁδευόντων ἢ κατὰ τούλδου, δεῖ ἀφωρισμένα τάγματα εἶναι τὰ πρὸς διαρπαγὴν τῶν πραγμάτων ἐγχειρήσοντα, ἵνα μή, τῶν πολλῶν ἢ καὶ πάντων εἰς τοῦτο ἀσχολουμένων, ἐπέλευσις ὑπὸ ἐχθρῶν γένηται καὶ κινδυνεύσῃ ὁ στρατός.
9 3 t	Πῶς δεῖ τῇ τῶν πολεμίων χώρᾳ εἰσβάλλειν καὶ πῶς ὁδοιπορεῖν ἀσφαλῶς ἐπ’ αὐτῇ καὶ πραιδεύειν βλάβης ἰδίας χωρίς; Κατὰ τοὺς τρόπους τούτους ἀσφαλῶς τῇ πολεμίᾳ ἐπιχειρήσοι τις ἢ συμβαλὼν ἤδη τοῖς ἐχθροῖς καὶ μάχῃ κρατήσας ἢ γνούς, ὡς οὐκ εἰσὶν ἀξιόμαχοι ἢ ἐμπαράσκευοι, αἰφνιδίως ἐπιτιθέμενος.
9 3 1	Εἰ γὰρ καὶ πλείους εἰσίν, ἀλλ’ οὖν ἄτακτοι καὶ ἄναρχοι, ὥσπερ Σκλάβοι καὶ Ἄνται καὶ τὰ τοιαῦτα ἄναρχα καὶ ἄτακτα ἔθνη· ἢ ὅτε προκαταλαβὼν τόπον καὶ κρατήσας οἷον ποταμὸν ἢ καὶ οὐράν· καὶ δι’ αὐτοῦ τοὺς ἐχθροὺς δύναται βλάψαι καὶ μὴ βλαβῆναι παρ’ αὐτῶν. Χρὴ πρὸ πάντων τὸν στρατηγὸν ἀποτροφῆς φροντίσαι τοῦ στρατοῦ, κἂν ἐν τῇ πολεμίᾳ εἰσέρχεται, καὶ ἢ διὰ βασταγῆς δημοσίας ἢ δι’ αὐτῶν τῶν στρατιωτῶν ἢ ἑτέρως πως ἐπινοῆσαι καὶ βαστάσαι, ἵνα μὴ ὡς εἰκὸς περὶ τὴν μέσην χώραν ἄφνω τῶν ἐχθρῶν ἀφανιζόντων τὰ τρόφιμα εἴδη, στενοχωρηθῇ ὁ στρατός.
9 3 3	Χρὴ μὴ ἐπιτηδεύειν νυκτερινὰς ὁδοιπορίας ἐν πολεμίᾳ χώρᾳ ποιεῖσθαι, εἰ μὴ πρὸς ἅπαξ λεληθότως, ἴσως χρείας ἀναγκαίας καλούσης, εἰς τὸ λαθεῖν τοὺς ἐχθροὺς καὶ τόπον δυσχερῆ αἰφνιδίως προκαταλαβεῖν ἢ παρελθεῖν τῶν ἐχθρῶν μὴ γινωσκόντων· πρότερον δὲ περιεργάσασθαι καὶ ἐρευνᾶν τὰς ὁδοὺς καὶ οὕτως τὰς ὁδοιπορίας ποιεῖσθαι. Χρὴ πᾶσαν θέσθαι σπουδήν τινας ζωγρῆσαι τῶν τῆς χώρας.
9 3 4	ὅπως ἐξ αὐτῶν τὴν τῶν ἐχθρῶν μαθήσεται δύναμιν καὶ τὰ αὐτοῦ ἐσπουδασμένα. Τὰς ἐρωτήσεις δὲ τῶν κρατουμένων δι’ ἑαυτοῦ ποιεῖσθαι τὸν στρατηγὸν καὶ μὴ δι’ ἑτέρου· πολλάκις γὰρ ἀναγκαῖά τινα καὶ παρὰ πᾶσαν ὑπόνοιαν διὰ τῶν ἐρωτωμένων ἐφανερώθησαν.
9 3 6	Ἀλλὰ μηδὲ τοῖς προσχωροῦσιν ἤτοι προσρυομένοις προχείρως πιστεύειν, ἀλλὰ τοῖς ἐξ αἰφνιδίου ἐπιδρομῆς, ἐπειδὴ συμβαίνει πεπλασμένα καὶ ἐκ τῶν προσρυομένων καὶ ἐκ τῶν κρατουμένων λέγεσθαι. Οὐ δεῖ δὲ τοῖς ὑφ’ ἑνὸς λεγομένοις προσέχειν, ἀλλὰ τῇ τῶν πλειόνων πείθεσθαι συμφωνίᾳ, μάλιστα δὲ τοῖς παρὰ τῶν ἐξ ἐπιδρομῆς ἁλισκομένων, ὡς εἴπομεν, ἢ τοῖς αὐτομολοῦσιν.
9 3 8	Τοὺς δὲ αὐτομολοῦντας τῶν ἐχθρῶν καί τινα μηνύειν ἐπαγγελλομένους ἀπόῤῥητα ἢ ἐν δεσμοῖς δεῖ φιλάττειν ἢ ἀσφαλῶς ἄλλως πως ἔχειν, καὶ προλέγειν δωρεὰς μὲν ἀληθεύουσι, ψευδομένοις δὲ θάνατον. Χρή, ἐὰν συνέστηκε στρατὸς ἐχθρῶν καὶ ἔξωθεν ὀχυρωμάτων διάγῃ, μηδαμῶς ἐπὶ ἁρπαγῇ ἢ πραίδᾳ πραγμάτων τινὰς τῶν στρατιωτῶν ἐπαφιέναι, ἀλλὰ κατ’ αὐτοῦ χωρεῖν πρότερον· καί, εἰ μὲν αἰσίως ἐξέλθῃ τὸ τοῦ πολέμου πέρας, μὴ ἀναβάλλεσθαι τὸν καιρόν, ἀλλ’ ἐν ὅσῳ ἐν φόβῳ καὶ ταραχῇ εἰσιν οἱ ἐχθροί, ἐπιτίθεσθαι αὐτοῖς, μέχρις οὗ τελείως καταλυθῶσι καὶ σκορπισθῶσιν ἢ σύμφωνα συμφέροντα γένωνται ἀσφαλῶς καὶ ἀναμφιβόλως.
9 3 10	Εἰ δὲ συνίστανται μέν, ὑπερτίθεσθαι δέ, συμβάλαι δὲ σπουδάζειν ἡνωμένως περιπατεῖν καὶ τὰ ἐν ποσὶν ἀφανίζειν. Εἰ δὲ διὰ τοιαύτης ὁδοῦ ἡ ἐπάνοδος ἐλπίζηται γίνεσθαι καὶ οὔκ εἰσιν ἀποτροφαὶ ἢ βοσκαί, δεῖ φείδεσθαι ταύτης καὶ ἐν τῷ ὑποστρέφεσθαι μᾶλλον ἀφανίζειν αὐτήν.
9 3 12	Χρὴ σημεῖά τινα ἐν ταῖς διόδοις καὶ ἀμφιβόλοις παρὰ τῶν προλαμβανόντων τίθεσθαι· καί, εἰ μὲν ὕλαι εἰσίν, ἐν τοῖς δένδροις, εἰ δὲ γυμνοί εἰσιν οἱ τόποι, διὰ σωρῶν λίθων ἢ ὀρυγμάτων μετρίων, διὰ τὸ ἐπιγινώσκοντας δι’ αὐτῶν τοὺς ὑστερίζοντας ἐκ τοῦ στρατοῦ μὴ πλανᾶσθαι τὸν ὁδόν. Χρὴ τοὺς εἰς πραῖδαν ἀπερχομένους μὴ πάντας εἰς διαπραγὴν ἀσχολεῖσθαι, ἀλλὰ διακεκριμένους εἶναι· καὶ τοὺς μὲν αὐτῶν πραιδεύειν, τοὺς δὲ πλείους αὐτῶν συντεταγμένως εἰς φυλακὴν αὐτῶν παρακολουθεῖν, εἴτε κατὰ χωρίου, εἴτε κατὰ φοσσάτου ἐχθρῶν, εἴτε κατὰ ἀγέλης, εἴτε κατὰ τούλδου ἢ ἑτέρου τινὸς ἡ ἐπέλευσις γίνεται, Τοῦτο δὲ ποιεῖν καὶ ἡνωμένως τοῦ παντὸς στρατοῦ εἰς πραῖδαν ἐγχειροῦντος, καὶ εἰς τὸ μὴ πάντας ἐπὶ ἁρπαγῆς ἀσχολεῖσθαι, ἀλλ’, εἰ καὶ συλλογῆς δαπάνης καιρὸς γένηται, δεῖ τοὺς μὲν συλλέγειν, τοὺς δὲ συντεταγμένως παρακολουθεῖν, ὥστε μὴ πάντων εἰς ἁρπαγὴν ἢ συλλογὴν τῶν ἐπιτηδείων ἀσχολουμένων αἰφνιδιασμόν τινα ἢ ἐνέδραν ὑπὸ τῶν ἐναντίων γένεσθαι καὶ τοὺς στρατιώτας μὴ δύνασθαι ἑαυτοὺς ἀνακαλεῖσθαι.
9 3 15	Ἀλλ’ οὐδὲ ἐκ διαφόρων ταγμάτων δηποτατιόνας κατ’ ὀλίγους γίνεσθαι εἰς κοῦρσον ἢ εἰς σκούλκας ἢ ἄλλον στρατιωτικὸν κάματον συμφέρει νομίζομεν ἀνάγκης χωρίς, ἀλλ’ ἢ ὁλόκληρα τάγματα ἤτοι βάνδα ἢ τὸ ἥμισυ αὐτῶν μέρος, τουτέστι κατὰ ἰλάρχας καὶ δεκάρχας δηποτατεύεσθαι. Εἰ δὲ χρεία ὡς εἰκὸς κατὰ τὸ ἀναγκαῖον ἀπαντήσει τοῦ ἐπιλογὴν γενέσθαι ἢ ὡς τῶν πλειόνων στρατιωτῶν διά τινα πρόφασιν ὀκνηρῶς πρὸς τὸ παρὸν ἐχόντων ἢ ὡς ἵππων ἀσθενούντων, τότε δὲ ἐπιλογὴν γενέσθαι τῶν προθύμων ἀνδρῶν καὶ ἐν δυνάμει τοὺς ἵππους ἐχόντων διὰ τὴν συνέχουσαν χρείαν· τὸ γὰρ ὀλίγους προπετῶς ἀπὸ τάγματος ἐπαίρεσθαι πρὸς κάματον ἐπισφαλές ἐστιν.
9 3 16	οὔτε γὰρ οἱ δηποτατευόμενοι χρησιμεύειν δύνανται ὡς ἐστερημένοι τῆς τῶν ἑτέρων συνάρσεως καὶ ἀλλήλους ἀγνοοῦντες, οὔτε οἱ μένοντες ὡς τῶν καλλιόνων ἐπαιρομένων ἀπ’ αὐτῶν. Χρὴ βουλόμενον τὸν στρατηγὸν φρούριον ἢ ἄκραν προκαταλαβεῖν ἢ ἕτερον τόπον μὴ προλέγειν τῷ πλήθει, ἄχρις ἂν ἐπὶ τοῦ τόπου γινόμενον ἔχεσθαι τῶν ἔργων κελεύσει.
9 3 18	Χρή, κἂν ἀνάγκη κελεύσοι, τοῦ πάντως τὴν στρατείαν πλησίον ὀχυρώματος πολεμίων ἢ ἀπληκεύειν ἢ πάροδον ποιεῖσθαι, ἕνα τῶν ἀρχόντων μετὰ ἐξπλήκτων ἀνδρῶν συστῆσαι εἰς τὰς ἐξόδους τοῦ ὀχυρώματος, ἵνα τὰς ὡς εἰκὸς αἰφνιδίους ἐκδρομὰς τῶν ἐναντίων κωλύσῃ. Τοῦτο δὲ καὶ ἐν τοῖς στενοῖς τόποις γίνεσθαι ἀναγκαῖον. Χρὴ πλησίον ὀχυρώματος ἐχθρῶν ἢ ὕλης μὴ ἐπιτηδεύειν αὐλίζεσθαι ἤτοι ἀπληκεύειν τὸν στρατόν.
9 3 19	εἰ δὲ ἀνάγκη πᾶσα ἐκεῖσε αὐλίζεσθαι, ἀκριβῶς τὰς παραφυλακὰς ποιεῖσθαι διὰ τὰς νυκτερινὰς τῶν ἐχθρῶν ἐπιθέσεις. Μᾶλλον δὲ σπουδάζειν γυμνῷ καὶ ἡπλωμένῳ καὶ ὑψηλοτέρῳ καὶ ὀχυρωτέρῳ τόπῳ ἀπληκεύειν. Χρὴ τὴν ἀποσκευὴν ἐμβαλλόντων μὲν εἰς τὴν πολεμίαν ὄπιθεν ἀκολουθεῖν, πλησιαζόντων δὲ τῶν ἐχθρῶν, ἐν μέσῳ τοῦ στρατοῦ ποιεῖν.
9 3 21	Χρὴ ἀπὸ τῶν ὁπλιτῶν διακεκρίσθαι τὴν ἀποσκευὴν καὶ τοὺς αἰχμαλώτους, ἐὰν ὦσι, μήποτε πολεμίων ἀθρόως ἐπιτιθεμένων τοῖς ἀγωνιζομένοις ἐμπόδισμα γένηται· μὴ μόνον δὲ ἐν τῇ ὁδοιπορίᾳ τοῦτο φυλάττειν, ἀλλὰ καὶ ἐν τῷ ἀπληκεύειν. Χρὴ ἐπὶ τῆς πολεμίας τοὺς μήνσορας ἤτοι ἀντικένσορας ἀπροόπτως μὴ προλαμβάνειν ἄνευ βοηθείας ἀρκούσης αὐτοῖς, ἀλλὰ μόνον διὰ τῶν αἰχμαλώτων καὶ αὐτομόλων ἀσφαλῶς ἀνερευνᾶν τὴν τῶν τόπων ποιότητα.
9 3 23	Χρὴ ἐν τῷ ἀπληκεύειν τὸν στρατὸν μὴ ἀναμεμιγμένως καὶ ἀτάκτως εἰσέρχεσθαι εἰς τὸ φοσσάτον, ἀλλ’, εἰ μὲν ἐχθροὶ ἐγγίσουσι καὶ πεζοὶ σύνεισι τῷ στρατῷ, πρότερον τὰς ἁμάξας τίθεσθαι, καὶ ἐν τάξει τὰ ὀρύγματα γίνεσθαι δεόντως τῆς τάφρου, καὶ τοὺς ἐξπλήκτους πάντας ἀπὸ ὀλίγου διαστήματος ἑτοίμους ἵστασθαι, καὶ τὴν ἀποσκευὴν κατὰ τάξιν εἰσέρχεσθαι, καὶ ἀπληκεύειν καὶ τῆς σκούλκας ἀπολυομένης τότε εἰσέρχεσθαι καὶ αὐτοὺς τοὺς ὁπλίτας κατὰ τάξιν καὶ ἀπληκεύειν. Εἰ δὲ μή εἰσι πλησίον ἐχθροί, ἀρκεῖ καὶ δι’ ἑνὸς μόνου δρούγγου ἤτοι μέρους τοῦτο γίνεσθαι τὸ σχῆμα, καὶ τοὺς λοιποὺς ἀπληκεύειν.
9 3 25	Χρὴ ἐχθρῶν ἐγγιζόντων καὶ συνισταμένων ἢ ὀχυρωμάτων ὄντων πλησίον ὕλης ἢ τόπου δυσχεροῦς, εἰς βοσκὴν τῶν ἵππων μὴ ἀφεῖναι, ὡς ἔτυχεν, ἀλλὰ καὶ τὰς σκούλκας ἀσφαλῶς πέμπειν καὶ ἔχειν μὲν ταύτην ἐν τῷ χάρακι, σπεύδειν δὲ ἀπὸ χειρῶν συναγαγεῖν ἢ ἐκ τῶν εὑρισκομένων καρπῶν ἐν τοῖς πλησίον χωρίοις ἢ χόρτου συλλογὴν ποιεῖσθαι, οὕτως μέντοι, ἵνα μετὰ τῶν παλλίκων ἔξπληκτοι ἐξ ἑκάστου μέρους συνέρχονται ὁπλῖται ἐν τάξει περιπατοῦντες διὰ τὰς αἰφνιδίους τῶν ἐχθρῶν ἐπελεύσεις. Εἰ δὲ ἐγχρονίζει τῷ τόπῳ καὶ ὁ καιρὸς ἐπιτήδειός ἐστι, καὶ ὁ τόπος πρὸς ἀποτροφὰς καὶ μήκοθέν ἐστι συνιστῶσα δύναμις τῶν ἐχθρῶν, δυνατὸν βόσκεσθαι αὐτήν, σκούλκας διπλῆς καὶ τριπλῆς πανταχόθεν ἀσφαλῶς γινομένης ἀπὸ πολλῶν διαστημάτων κατὰ διαδοχήν.
9 3 27	Χρὴ τοὺς ἐπιγενομένους στρατιώτας ἰδίᾳ αὐθεντίᾳ τοῖς ἐπὶ πραῖδαν ταχθεῖσι μετὰ καθολικὰ μανδάτα συνέχεσθαι καὶ τοῖς ἰδικοῖς παραπέμπεσθαι ἄρχουσιν εἰς τὸ σωφρονίζεσθαι, ἵνα μὴ ἄδειαν οἱ λοιποὶ λαμβάνοντες καὶ εἰς ἁρπαγὴν ἐκτρέχοντες γυμνώσωσι τὸν στρατηγὸν καὶ κινδυνεύσῃ ὅλος ὁ στρατός. Χρὴ τὸν εὑρισκόμενον οἶνον ἢ ἄρτον μὴ τρώγειν ἢ πίνειν προχείρως, εἰ μὴ πρότερον διὰ τῶν αἰχμαλώτων ἡ δοκιμασία γένηται, μηδὲ τὸ ἐν τοῖς φρέασιν ὕδωρ· πολλάκις γὰρ φαρμάκοις ἠφανίσθησαν.
