Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 801b alpha	θέλῃ] μανθάνειν ChisReg, ἐλθεῖν Lb.
book 801b beta	ἢν ... θέλῃ] εἴπερ δυνηθῶ πεῖσαι Ho (Cang) (pertinet ad praecedentia).
book 802a alpha	ἔσθ’] τρόπος Cant.2lChalch.
book 802a beta	ὅπως] ἀλλ’ Cr ὅτι ChisCr.
book 802b	ἐξελῶ] ἀποδιώξω ChisRegChalc, διώξω LbHo, ἐκδιώξω Vab, ἐξολοθρεύσω Cr, ἐκβαλῶ Cant.2, ἐξελάσω PaLb.
book 803a	ἀλλ’] πρὸς τὸν Σωκράτη(ν) Cr (cf. sch.vet. 803).
book 803b	ἐπανάμεινόν] προσκαρτέρησον ChisRegCrCant.2Chalc, καρτέρησον Lbh, πρόσμεινον l.
book 803c	εἰσελθὼν] εἰς τὴν οἰκίαν ChisReg, εἰς τὸ φροντιστήριον ParCrPa, ἐν τῷ φροντιστηρίῳ Ba(m3) (ad paraphr. m2 v. 803).
book 803d	τελευταῖος τῶν τριμέτρων ἰάμβων.
book 804a	τοῦ παρόντος χοροῦ τὰ κῶλα Ϟʹ εἰσί· καὶ ἔστι τὸ μὲν πρῶτον ἰωνικὸν τετράμετρον ἐκ διτροχαίου, ἰωνικῶν βʹ ἀπὸ μείζονος καὶ ἐπιτρίτου βʹ· τὸ βʹ τρίμετρον ἐκ διιάμβου, διτροχαίου καὶ βακχείου· τὸ γʹ δίμετρον ὑπερκατά‐ ληκτον ἐκ διιάμβων βʹ καὶ μιᾶς συλλαβῆς· τὸ δʹ τετράμετρον ἐκ δύο διιάμβων, χοριάμβου, καὶ πάλιν διιάμβου· τὸ εʹ χοριαμβικὸν τρίμετρον ἐκ τριῶν χοριάμ‐ βων· τὸ Ϟʹ παιωνικὸν τετράμετρον ἐκ παίωνος τρίτου, ἐπιτρίτου δʹ, ἰωνικοῦ ἀπὸ μείζονος καὶ ἐπιτρίτου βʹ· καὶ ἐφεξῆς ἰαμβικοὶ στίχοι τρίμετροι οζʹ, ὧν τελευταῖος [para]πρὸς πάντα τὰ δίκαι’ ἀντιλέγειν δυνήσεται.
book 804b alpha	πρὸς τὸν Σωκράτη(ν) ταῦτά φησιν ὁ χορός.
book 804b beta	ἆρά γ’ αἰσθάνῃ: ὁ λόγος [οἱ μέν φασι] πρὸς τὸν Va Στρε‐ ψιάδην ἐκ τῶν Νεφελῶν, [εἶναι τὸν λόγον·] ὥς φασί τινες Lb· οἱ δὲ πρὸς τὸν Va Σωκράτην.
book 804b beta,c2	ἆρά γ’ αἰσθάνῃ: πρὸς τὸν Σωκρά‐ την ἔοικεν εἶναι ὁ λόγος ἐκ τῶν Νεφελῶν.
book 804c	αἰσθάνῃ(–ει)] νοεῖς ChisRegParCrCant.2Vah, ἐννοεῖς Chalc, γι‐ νώσκεις Pa, αἴσθησιν λαμβάνεις Lb.
book 805a	δι’ ἡμᾶς] ἀφ’ ἡμῶν Lb, ἕνεκεν ἡμῶν (Cang).
book 805b	αὐτίχ’] συντόμως ChisReg, μετ’ ὀλίγον Par, τηνικαῦτα Cr, νῦν, ἤδη Cant.2.
book 807a	ὅδ’] οὗτος Cant.2Vah ὁ Στρεψιάδης ChisRegChalc(dub.) Ho(m2) Ba(m2) ἢ ὁ Φειδιππίδης, ὁ μέλλων ἐλθεῖν ἐνταῦθα Ba(m2).
book 807b	ἕτοιμος] πρόχειρος CrlChalc.
book 808a	πάντα] γρ. ἅπαντα Chis.
book 808b	κελεύῃς] ὁρίζῃς Cant.2, προστάσσῃς h, προστάττεις Lb, –ττοις Chalc (–εύοις text. lChalcb, –εύῃς text. Ho).
book 809	ἐκπεπληγμένου] ἐκκρεμαμένου Chis, ἐβροντημένου Par, ἐκμανοῦς Cant.2, ἔκπληξιν καὶ Lb θαῦμα ἔχοντος l, ἐκπληττομένου τῷ θαύματι Lb, μαινομένου Chalc, ἐκπλήκτου καὶ μὴ φρονοῦντος καὶ ἐπαινοῦντός σε Ba(m2).
book 810	ἐπηρμένου] ἀλαζόνος Cant.2, ἐπαιρομένου τῇ ἐλπίδι Lb, μετεώρου ὄντος Va, ὑπερηφάνου, ἰδιώτου h.
book 811a	γνοὺς] οὕτως ἔχοντα αὐτὸν RegCr νοήσας ChisRegCrVaChalc, καταγνούς PaVab ἤγουν καταφρονήσας b(mrg.), κατανοήσας Lb.
book 811b	οἱ λέγοντες “γνοὺς” ... (2) συντάξωσι τὴν γενικήν, οὐ καλῶς λέγουσιν· ἔστι γὰρ αὕτη (2) ... (3) οὕτως ... ἀπολάψεις, ἀντὶ τοῦ ἀποκέρ‐ δησον, ταχέως ... (5) ἐπάξεις ... ἐπιτάττουσιν.
book 811c alpha	ἀπολάψεις] ῥοφήσῃς Par, ἐκροφήσεις ὡς κύων Cant.2, ἐμφορη‐ θῇς (D).
book 811c beta	ἀπολαύσεις] αὐτοῦ Lb, τρυφήσει Chalc, ἀποσπάσεις Ba(m2) (text. ἀπολαύσεις VaHarl.5, ἀπολάψεις Ho).
book 811d	δύνασαι] ἰσχύεις Cr, δυνατὸς ὑπάρχεις l, δύναμιν ἔχεις Chalc.
book 812a	φιλεῖ] εἰώθασι F(m2), εἴωθε ChisRegCrCant.2lChalcb, συνήθειαν ἔχει⟦σ⟧ Par, ἀγαπᾷ Cr.
book 812b	φιλεῖ γὰρ: ἀντὶ τοῦ ἔθος ἔχει ὥστε ἄλλως ἀποβαίνειν ἢ προσδοκᾷ τις· ἀντὶ τοῦ εὐμετάβλητοί εἰσιν οἱ ἐξ ἐπιθυμίας ἀλόγου τινὶ συμβαλόντες· εὐμετάβλητοι γὰρ αἱ τῶν τοιούτων ἀνδρῶν γνῶμαι.
book 812c	γνωμικόν ChisRegCrV57 LbChalc(ad vs.) (= Tr1 812a).
book 813a	ἑτέρᾳ] ἑτέρως.
book 813b	ἑτέρως [ἕτερα RegPar]] ἄλλως ChisRegCant.2Vah (cf. sch.vet. 813), μάτην Par, ἀλλοτρόπως Lb, ἐναντίως Chalc.
book 813c	τρέπεσθαι] μεταβάλλεσθαι ChisRegCrCant.2l εἰς ἄλλο Lb, μεταπίπ‐ τειν Lb, ἀποβαίνειν Chalc.
book 814a alpha	οὔκουν] οὐδαμῶς Par.
book 814a beta	οὔτοι] περισσόν Cr (sc. –τοι), οὐδαμῶς Cant.2lChalch.
book 814b	ἐπεὶ καὶ ἡ ὀμίχλη ἐκ τῶν νεφελῶν δοκεῖ τὴν σύστασιν ἔχειν, εἰκότως αὐτὴν εἰς ὅρκον παρέλαβεν. [ἔλαβεν.]
book 814c	ἐνταυθοῖ] ἐνταῦθα lChalc, ἐν τῷ ὁμοίῳ βίῳ h (ἐν ταυτῷ]b).
book 815a	ἔσθι’] ναὶ Cr(m3) τρῶγε Cr(m3) Cant.2lChalcb, κατάτρωγε Ho.
book 815b	ἐλθὼν] ἀπελθών ChisRegCrVa.
book 815c	τὰς] τοὺς Cr.
book 815d	Μεγακλέους] τοῦ σοῦ θείου LbChalc.
book 815e	ἐντεῦθεν δῆλον ... ἵστατο ὁ οἶκος αὐτοῦ. δείκνυται ... (2) μόνοι τούτου ἐναπελείφθησαν [οὗτοι ὑπελείφθησαν] ... καταναλωθέντων παρ’ αὐτοῦ.
book 815f	ὁ Μεγακλῆς πρόγονος ἦν Φειδιππίδου, οὗ τοὺς οἴκους εἶχεν ὁ Στρε‐ ψιάδης. ἐπεὶ δὲ πάντα διὰ τὸν Φειδιππίδην ἀπώλεσεν ὁ Στρεψιάδης καὶ μηδὲν ἄλλο εἶναι ἐν τῇ οἰκίᾳ συνέβαινεν ἢ τοὺς κίονας, φησίν· “ἔσθιε ἐλθὼν τοὺς κίονας” ἤγουν ἢ πείσθητί μοι ἢ εἰ τρωκτοί εἰσιν οἱ κίονες, ἔσθιε αὐτούς· ἐγὼ γὰρ οὐκ ἔχω σοι δοῦναι οὐδέν.
book 816a	δαιμόνιε] δυστυχέστατε ChisRegParCr, κακότυχε Cant.2, ἄθλιε ἢ καὶ h εὐτυχέστατε lChalch.
book 816b	χρῆμα] πρᾶγμα CrCant.2LbChalc.
book 816c	πάσχεις] ἀντὶ τοῦ ἔπαθες Cr.
book 817a	Ὀλύμπιος ὁ ἐν Ὀλυμπίᾳ τιμώμενος, καὶ Πύθιος Ἀπόλλων ὁ ἐν Πυθοῖ Chis(mrg. ὀλύμπιον ⸓).
book 817b	ὀλύμπιον] οὐράνιον CrCant.2lChalc.
book 818a	ὀλύμπιον] ὤμοσε Chis, ὤμοσας RegCant.2Vah(–μω– Cant.2h) Chalc(hic ὅμ–), ὀμνύς Par, ὀμνύει Pa, ὀμνύεις Cr (cf. Tz1 818b), εἶπες Lb.
book 818b	τῆς μωρίας] φεῦ RegCant.2lh ἕνεκα ChisRegChalchCant.2l (hi duo –κεν), ἴδιόν ἐστιν Par, ἀγνωσίας Cr.
book 818c	μωρία καὶ μωρὸς ἀπὸ τοῦ “μή” στερητικοῦ μορίου Lb καὶ τοῦ “ὥρα” τὸ ἔγκαιρον ἤ [καὶ] πρέπον. τὸ γὰρ πρέπον καὶ ἔγκαιρον μακρὰν τοῦ μωροῦ καὶ Lb ἀσυνέτου ὑπάρχει. [ἐστίν.]
book 818d	γελαστικῶς τοῦτο λέγει ὁ Στρεψιάδης h(mrg.).
book 819a	νομίζεις] ὑπολαμβάνεις Vah (–ζεις etiam text. LbChalc; –ζεις et –νεις ex –ζειν et –νειν Va; –ζειν text. Ho).
book 819b	ὄντα] ἀντὶ τοῦ εἶναι Chalc.
book 819c	ὄντα τηλικουτονί: οἷος, τοῖος, ὁποῖος, τοιοῦτος, ἡλίκος, πηλίκος, ὅσος, τόσος, τοσοῦτος πάντα εἰσὶν ἀναφορικά· τὸ δὲ τηλικοῦτος οὐκ ἀναφέρεται πρός τι ἄλλο κυρίως. εἰ δὲ ἐνίοτε καὶ πρὸς τὸ ἥλικος, ἀλλ’ οὐ κυρίως· ἄλλο γὰρ ζητεῖ κυριώτερον καὶ οἰκειότερον. διὰ τοῦτο ἐνταῦθα ἐπὶ θαυμασμοῦ εἴληπται h(mrg.).
book 819d	τηλικουτονί] τοιοῦτον CrlChalcb, τοσοῦτον Cant.2, ἤγουν ὀλύμ‐ πιον Lb.
book 820a	τοῦτ’] διὰ τοῦτο ChisReg, κατά CrLb.
book 820b	ἐγέλασας] ἐμειδίασας Cr.
book 820c	ἐτεόν] ἀληθῶς ChisRegChalc κατὰ ἀλήθειαν (Tz1 820c)ParCr Cant.2lh εἰπέ ChisRegCrh, ἀληθές Pa.
book 821a	παιδάριον] μέγας F(m2).
book 821b	φρονεῖς] νοεῖς CrCant.2LbChalc.
book 821c	ἀρχαϊκά] ἀσύνετα Lb.
book 821d	ἀρχαῖοι οἱ ... ἀρχαίων καὶ Reg ἀπραγμόνων ἀνδρῶν.
book 822a	πρόσελθ’] πρὸς ἐμὲ ἐλθέ ChisLbChalc πρόσελθε Vah, ἐμοί Par, πείσθητι Lb (cf. 822b) (πρόσιθ’] lChalcb).
book 822b	πρόσιθ’ ἵν’ εἰδῇς: οὐ μᾶλλον τοπικόν τι Lb διάστημα ἐκ τούτου [ἐντεῦθεν] ἐμφαίνει ἢ συμφωνίαν καὶ συγκατάθεσιν, ὧν ἐβούλετο ὁ Στρεψιά‐ δης. “πρόσιθι” οὖν φησιν ἤγουν συμφώνησον ἐμοὶ [ἡμῖν] καὶ πείσθητι, οἷς πρὸς σὲ λέξω Lb, ἵνα μάθῃς πλείονα, ὧν εἶπόν σοι.
book 822c	εἰδῇς] μάθῃς ChisRegCrLbh (= sch.vet. 822), γνῷς Cant.2l, νοήσῃς Chalc.
book 822d	εἰδέω, εἰδῶ τὸ γινώσκω, καὶ ῥῆμα εἰς μι εἴδημι· καὶ ὁ παρατατικὸς εἴδην, ἡ μετοχὴ εἰδείς, εἰδέντος, καὶ τὸ ὑποτακτικὸν ἐὰν εἰδῶ, ἐὰν εἰδῇς Cr (mrg.).
book 822e	πλείονα] περισσότερα Va.
book 823a	πρᾶγμ’] πρᾶξιν Cr.
book 823b	ἀνὴρ ἔσῃ] τέλειος κατὰ γνῶσιν, τουτέστιν ἔλθῃς εἰς φρόνησιν ἀνδρικήν Par, κυρίως ἄνθρωπος Cant.2, ἐντελὴς κατὰ τὴν φρόνησιν Lb, τελείῳ φρονήματι Va, φρόνιμος Chalc, τέλειος γενήσῃ h.
book 823c	οὐ τὴν ἀνδρικὴν ἡλικίαν ἐμφαίνει διὰ τούτου· οὐ γὰρ μειράκιον τυχὸν ὢν ὁ Φειδιππίδης οὕτω δι’ ὀλίγου ἔμελλε γενέσθαι ἀνήρ, ἀλλὰ ἐν τελείῳ καὶ ἀνδρικῷ, φησί, φρονήματι ἔσῃ καὶ γενήσῃ h(mrg.).
book 824a	διὰ τοῦτο p.i.m.] τηρεῖ ... αὐτὸν πρότερον ὁ μαθητὴς Σωκράτους Reg (cf. Th1/2Tr1/2 824b).
book 824b	διδάξῃς] εἴπῃς, φανερώσῃς Cant.2.
book 825	ἰδού] [ναὶ] ἐγὼ δηλονότι Chis, ὑπακούω Cant.2.
book 826a	οὖν] λοιπόν Lb.
book 826b	ἀγαθὸν] καλόν Cant.2, ἐπωφελές Pa.
book 826c	μανθάνειν] ἐκδιδάσκεσθαι Cr, διδάσκεσθαι Lb.
book 828a	δῖνος ἡ συστροφὴ τοῦ αἰθέρος ἤγουν αὐτὸς ὁ αἰθὴρ περιφραστικῶς h(mrg.).
book 828b	δῖνος] τὸ ὀστράκινον ποτήριον ChisReg, ἡ συστροφὴ τοῦ αἰθέρος lh.
book 828c	βασιλεύει] ἄρχει Cant.2h.
book 828d	ἐξεληλακώς] ἐξελάσας Lb, ἐκδιώξας lChalc (cf. sch.vet. 828).
book 829a	αἰβοῖ] θαυμαστικόν Reg, εἰρωνικῶς Chalc.
book 829b	ληρεῖς] φλυαρεῖς Vah.
book 829c	οὕτως] τοιουτοτρόπως CrChalc.
book 829d	ἔχον] διακείμενον ChisCant.2Chalc.
book 830a	τίς κτλ.] Ἀρισταγόρου Μηλίου μαθητὴς ὁ Σωκράτης Cr (cf. sch.vet. 830b post in.).
book 830b	ὁ Μήλιος] ὁ ἀσεβὴς ὁ ἀπὸ Μήλου ὤν Cr (cf. sch.vet. 830b in.), ὁ ἄθεος· ἄθεοι γὰρ οἱ Μήλιοι Lb.
book 830c	de scholiis Reg, Cr, lChalc ex sch. 830 Tr2 ductis v. in app. huius scholii; cuius brevius excerptum extat in h, in quo καταλύσαντά τινά ποτε Μήλιον σοφόν illud facinus commisisse traditur.
book 831	ἴχνη] τοὺς πόδας CrLb.
book 832a	τοσοῦτο τῶν μανιῶν] εἰς τοσαύτην μανίαν ChisRegLb(hic –το]).
book 832b	τοσοῦτον] πλῆθος ParPa, ἔργον Cr, μέρος δῆλον Cant.2(hic –το]).
book 832g	μανιῶν] κακιῶν Cr, μωριῶν Chalc, ἀφροσυνῶν h.
book 833a	πείθει]–ῃ] –ειν Reg (cf. 833a Tr1/2).
book 833b alpha	πείθειν] πείθεσθαι Par(hic –ει{ν}])Cr.
book 833b beta	πείθῃ] πιστεύεις Cant.2, καταπείθῃ lChalch(–ειν] Ho).
book 833c	γράφεται καὶ “πείθειν”· καὶ ἔστιν ἡ σύνταξις οὕτως· σὺ (3) ... (3) χολῶσι προσελθὼν δηλονότι, ὥστε ... (4) τῆς μανίας αὐτῶν μετέχεις, ... ματαίων.
book 833d	εὐστόμει] ἀγαθὰ Chis εὔστομα Par καλῶς Cr καλοὺς λόγους Chalc εὔφημα h λέγε ChisParCrChalch, εὐφήμει Cant.2l (cf. sch.vet. 833b).
book 833e	“εὐφήμει” φαμέν, οὐκ “εὐστόμει”. ἐπειδὴ ἡ εὐφημία διὰ τοῦ στόματος γίνεται, “εὐστόμει” εἶπε καταχρηστικῶς l(mrg.).
book 834a	φλαῦρον] φλύαρον Chis, κακόν CrCant.2h (cf. sch.vet. 834b), ἀπαίδευτον Cr, ἀνόητον Cant.2, αἰσχρόν l, ἄσχημον Lb, ἀπρεπές Vah.
book 834b	ἄνδρας] εἰς Pa, ὑβρίζων Va, λοιδορῶν h.
book 834c	δεξιοὺς] ἀγαθούς ChisCant.2, σοφούς Cr, ἐπιτηδείους lh καὶ φρονίμους Lb.
book 834d	“λέγω σοι κακόν”· οἱ δὲ Ἀττικοὶ οὐχ οὕτως, ἀλλὰ “λέγω σε κακῶς” καὶ “λέγω σε κακόν” ἤτοι κακολογῶ σε Lb(mrg.).
book 835a alpha	νοῦν ἔχοντας] φρονίμους ChisCant.2 PalChalc, φρονιμωτάτους καὶ σοφούς h, νουνεχεῖς ὄντας Cr.
book 835a beta	νοῦν] φρόνησιν l.
book 835b alpha	ὑπὸ τῆς φειδωλίας] ἀντὶ τοῦ εἰπεῖν [παρ’ ὑπόνοιαν ἀντὶ τοῦ] ὑπὸ τῆς ἀρετῆς ChisReg, παρ’ ὑπόνοιαν τὸ σχῆμα· “καρτερίας” ὤφειλεν εἰπεῖν Cr (cf. sch.vet. 835c), ἀκριβείας Cant.2.
book 835b beta	ὑπὲρ τῆς φειδωλίας] διὰ τὴν l ἀκρίβειαν Lb φειδωλίαν Va, ἀκριβολογίας Chalc, ἕνεκεν τῆς φειδωλίας h(ὑπὸ τ. φ.] Ho).
book 835c	ὧν ... φειδωλίας] ἅπερ οὗτοι ποιοῦσι ... φειδωλίαν καλοῦσιν Par (cf. 835 Tr2).
book 836a	ἀπεκείρατ’] ἔκειρε τὰς κόμας Lb, ἀπέκοψε τὰς τρίχας Va, τὴν τρίχα· ἤγουν ἔκοψε h.
book 836b	ἠλείψατο] ἐλαίῳ ChisReg, τὴν κεφαλήν Cant.2, ἄλειμμά τι lChalc, μύρον h.
book 837	βαλανεῖον] λουτρόν Parlh, λοετρόν Cant.2, λουετρόν Chalc.
book 838a	θνῄσκω, ὁ μέλλων θνήξω, ὁ παρακείμενος τέθνηχα ἄχρηστος, ὁ μέσος τέθνηκα, καὶ ἰωνικῶς τέθνεα· ὅταν γὰρ ἀποβάλλωσι τὸ σύμφωνον τοῦ παρακειμένου οἱ Ἴωνες, συστέλλουσι καὶ τὴν παραλήγουσαν. καὶ ἡ μετοχὴ τεθνεώς, καὶ κλίνεται τεθνεῶτος διὰ τοῦ ω μεγάλου. οὕτω καὶ βέβηκα, ἰωνικῶς δὲ βέβαα, ἡ μετοχὴ βεβαώς, βεβαῶτος Ba(m3? mrg.).
book 838b	καταλούῃ(–ει)] ἀναλίσκεις Reg (cf. sch.vet. 838bα in.), καταχέεις Par (M11m6), φθείρ〈εισ〉 Cant.2.
book 838c	βίον] ζωήν Chis, περιουσίαν Chalch (cf. sch.vet. 838f et Tz 837, l. 8).
book 838d alpha	καταλούῃ: ἐκ μεταφορᾶς τῶν λουομένων, ὅτι καταχέοντες τὸ ὕδωρ, ᾧ λούονται, διαφθείρουσιν αὐτό.
book 838d beta	ἐπεὶ ὡς ἐπὶ τὸ πλεῖστον τῶν γονέων ἀποθνῃσκόντων οἱ παῖδες αὐτῶν καταναλίσκουσι τὴν κληρονομίαν ἔν τε σπατάλαις καὶ λουτροῖς, ἀδεῶς τούτου ἕνεκα τὸ “καταλούῃ” εἴρηκε, τουτέστιν οὕτω διέφθειρας τὴν ἐμὴν περιουσίαν διὰ τῆς ἱππικῆς, ὥσπερ εἰ ἐγὼ ἦν τεθνεώς.
book 839a alpha	ὡς τάχιστ’] λίαν συντόμως ChisRegCant.2 ταχέως CrlChalch.
book 839a beta	ὡς] ὅσον V57, περισσόν Par.
book 839b	ἐλθὼν] ἀπελθών ChisPah.
book 839c	ὑπὲρ] βοηθείας Cant.2, ἕνεκεν LbChalc(hic –κα)h.
book 840a	ἐκείνων] τῶν σοφῶν Cant.2, τοῦ Σωκράτους καὶ Χαιρεφῶντος h.
